RYM Album, First Name,Last Name,First Name localized, Last Name localized,Title,Release_Date,Rating,Ownership,Purchase Date,Media Type,Review
"14423472","","파란노을","","Parannoul","White Ceiling / Black Dots Wandering Around","2022","8","n","","",  ""
"10029448","","이달의 소녀","","LOONA","X X","2019","8","n","","",  ""
"14254132","","야야 킴","","YAYA Kim","a.k.a YAYA","2022","6","n","","",  ""
"13087464","","4s4ki","","","Castle in Madness","2021","7","n","","",  ""
"14049134","","4s4ki","","","Here or Heaven","2021","7","n","","",  ""
"14335852","","4s4ki","","","Here or Hell","2022","5","n","","",  ""
"14808580","","4s4ki","","","Killer in Neverland","2022","7","n","","",  ""
"5669923","Kevin","Abstract","","","MTV1987","2014","7","n","","",  ""
"14858585","","Ado","","","ウタの歌 One Piece Film Red (Uta's Songs One Piece Red)","2022","5","n","","",  ""
"7352850","","AKLO","","","Outside the Frame","2016","3","n","","",  ""
"5707413","","AKLO","","","The Arrival","2014","4","n","","",  ""
"13275139","","Anarchy","","","Noise Cancel","2021","7","n","","",  ""
"13895129","","Asian Glow","","","lines between the doorframe","2021","5","n","","",  ""
"13310618","","Bent Knee","","","Frosting","2021","6","n","","",  ""
"11339730","The","Beths","","","Jump Rope Gazers","2020","7","n","","",  ""
"5640687","","Bleachers","","","Strange Desire","2014","6","n","","",  ""
"13584733","","Blu","","","The Color Blu(e)","2021","7","n","","",  ""
"379028","The","Blue Hearts","","","The Blue Hearts","1987","9","n","","",  ""
"379030","The","Blue Hearts","","","Train - Train","1988","8","n","","",  ""
"6260877","","BRADIO","","","Diamond Pops","2013","6","n","","",  ""
"6634133","","BRADIO","","","Power of Life","2015","6","n","","",  ""
"4312805","Danny","Brown","","","Old","2013","6","n","","",  ""
"10379230","","Bump of Chicken","","","Aurora Arc","2019","6","n","","",  ""
"12937562","Cali","Cartier","","","Chains","2021","7","n","","",  ""
"11663003","Cali","Cartier","","","Pop","2019","7","n","","",  ""
"13045268","Cali","Cartier","","","Smile Season Soon","2021","6","n","","",  ""
"12052845","Sophie","Cates","","","All My Boyfriends","2020","8","n","","",  ""
"10712033","Sophie","Cates","","","Yikes!","2019","7","n","","",  ""
"11332993","","Charli XCX","","","How I'm Feeling Now","2020","9","n","","",  ""
"15862","","Coldplay","","","A Rush of Blood to the Head","2002","8","n","","",  ""
"10884242","a","crowd of rebellion","","",":12_White","2019","7","n","","",  ""
"10395187","a","crowd of rebellion","","","Black_24:","2019","6","n","","",  ""
"8812136","a","crowd of rebellion","","","Gingerol","2017","6","n","","",  ""
"9430333","a","crowd of rebellion","","","I11","2018","7","n","","",  ""
"7958898","a","crowd of rebellion","","","Xanthium","2016","8","n","","",  ""
"12271030","a","crowd of rebellion","","","Zealot City","2020","8","n","","",  ""
